Item Number,Item Description,Quantity,UM,From Location,To Location
4100-9701-45,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-46,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-47,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-48,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-49,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-50,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4190-8401-19,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-20,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4100-9765-1,"ES NET NDU-VOICE, TSD, ES-PS S",1,EA,70057,SITE
4100-9765-2,"ES NET NDU-VOICE, TSD, ES-PS S",1,EA,70057,SITE
4100-9765-7,"ES NET NDU-VOICE, TSD, ES-PS S",1,EA,70057,SITE
4100-9765-8,"ES NET NDU-VOICE, TSD, ES-PS S",1,EA,70057,SITE
4100-9765-9,"ES NET NDU-VOICE, TSD, ES-PS S",1,EA,70057,SITE
4100-9765-10,"ES NET NDU-VOICE, TSD, ES-PS S",1,EA,70057,SITE
4190-9027,DOT MATRIX PRINTER 24 PIN SP,6,EA,70057,SITE
2975-9443,(2975-9443) SIMPLEX,13,EA,70057,SITE
4190-9832,ES NET EXT NIC RED 120/240V SP,6,EA,70057,SITE
4100-9701-51,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-59,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-60,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-61,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4100-9701-64,ES-PS MSTR CTRLR 2X40 SP - MAT,1,EA,70057,SITE
4190-8401-21,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-5,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-6,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-7,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-8,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-9,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-10,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-12,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-13,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-22,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-23,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-24,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-25,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-8401-26,TRUESITE WORKSTATION SP - MATA,1,EA,70057,SITE
4190-9027,DOT MATRIX PRINTER 24 PIN SP,1,EA,70057,SITE
2975-9443,(2975-9443) SIMPLEX,2,EA,70057,SITE
4100-9701-62,ES-PS MSTR CTRLR 2X40 SP - MAS,1,EA,70057,SITE
2975-9443,(2975-9443) SIMPLEX,2,EA,70057,SITE
4100-9701-63,ES-PS MSTR CTRLR 2X40 SP - 2ND,1,EA,70057,SITE
